Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Majority-Class Baseline,0.7605859182668636,0.5784909390658481,0.7605859182668636,0.6571572941300358,0.5
Logistic Regression (Tuned),0.7974519940915805,0.8479561758297747,0.7974519940915805,0.809558170934162,0.8977551566775432
Decision Tree (Tuned),0.8205933037912359,0.8322868821081828,0.8205933037912359,0.8250451171803791,0.8700085724472684
Random Forest (Tuned),0.8419497784342689,0.8537953225797947,0.8419497784342689,0.8461593829605121,0.9108231775176806
XGBoost (Tuned),0.8406573116691285,0.8625318384605117,0.8406573116691285,0.847058987415966,0.9238262861479154
SVM (RBF kernel),0.805822255046775,0.8555312859660196,0.805822255046775,0.8174097716514478,0.9003597057951075
Tuned Ensemble,0.8416420482520925,0.8645900638265713,0.8416420482520925,0.8482028027062315,0.921534836253984
