Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Majority-Class Baseline,0.7605859182668636,0.5784909390658481,0.7605859182668636,0.6571572941300358,0.5
Logistic Regression,0.844903988183161,0.8379259431453,0.844903988183161,0.8393726168382958,0.8986256209875809
Decision Tree (depth=5),0.8495814869522402,0.8422100240472281,0.8495814869522402,0.8420979058264618,0.8863335199953736
SVM (RBF kernel),0.8557976366322009,0.8492839974845182,0.8557976366322009,0.8493959503964221,0.8952758035655223
Random Forest (n=200),0.8471811915312654,0.8416466347106603,0.8471811915312654,0.8433409046058814,0.8939405632561734
XGBoost (n=300),0.8652757262432299,0.8614568257602588,0.8652757262432299,0.862690493768353,0.9226045824005432
Soft Voting Ensemble,0.865029542097489,0.8602464212559968,0.865029542097489,0.861282930567485,0.9197248870562911
